NAME,FAMILY,GROUPS
CAMK2A (CaMK2a),CAMK2,CAMK
IRAK4,IRAK,TKL
ERBB2 (ErbB2),EGFR,TK
NTRK1 (TRKA),Trk,TK
BTK,Tec,TK
PI4KB,PIK,Atypical
CSNK2A1 (CK2a1),CK2,CMGC
BRAF,RAF,TKL
CDK2,CDK,CMGC
MET,Met,TK
TTK,TTK,Other
STK11 (LKB1),CAMKL,CAMK
SYK,Syk,TK
JAK2,JakA,TK
ACVR1 (ALK2),STKR,TKL
PI4K2A,PIK,Atypical
MLKL,TKL-Unique,TKL
PIK3CG (p110g),PIK,Atypical
EGFR,EGFR,TK
STK24 (MST3),STE20,STE
SRPK1,SRPK,CMGC
TRRAP,PIKK,Atypical
AURKA (AurA),Aur,Other
AKT1,Akt,AGC
GSK3B,GSK,CMGC
MAPK1 (Erk2),MAPK,CMGC
VRK1,VRK,CK1
LRRK2,LRRK,TKL
PIK3CA (p110a),PIK,Atypical
MAPK3 (Erk1),MAPK,CMGC
CLK3,CLK,CMGC
DYRK1A,DYRK,CMGC
CDK1 (CDC2),CDK,CMGC
CLK1,CLK,CMGC
ABL1,Abl,TK
MAPK14 (p38a),MAPK,CMGC
MARK3,CAMKL,CAMK
ANTXR1 (DNAPK),PIKK,Atypical
KIT,PDGFR,TK
CSNK1D (CK1d),CK1,CK1
PLK1,PLK,Other
FLT3,PDGFR,TK
MAP3K7 (TAK1),MLK,TKL
CLK2,CLK,CMGC
PRKCB (PKCb),PKC,AGC
TNNI3K (HH498),MLK,TKL
CSNK2A2 (CK2a2),CK2,CMGC
RPS6KA1-b (RSK3-b),RSKb,CAMK
FGFR4,FGFR,TK
MAP4K1 (HPK1),STE20,STE
FGFR1,FGFR,TK
TRIB2 (Trb2),Trbl,CAMK
DAPK3,DAPK,CAMK
MTOR (FRAP),PIKK,Atypical
PRPF4B (PRP4),DYRK,CMGC
PIK3CD (p110d),PIK,Atypical
RIPK2,RIPK,TKL
ROCK2,DMPK,AGC
LIMK1,LISK,TKL
MAP3K12 (DLK),MLK,TKL
TP53RK (PRPK),Bud32,Other
TYK2-b,JakB,TK
PLK2,PLK,Other
WNK1 (Wnk1),WNK,Other
PTK2 (FAK),FAK,TK
MKNK1 (MNK1),MAPKAPK,CAMK
NEK2,NEK,Other
MAPKAPK3,MAPKAPK,CAMK
FGFR2,FGFR,TK
FGR,Src,TK
ALK,ALK,TK
PTK2B (PYK2),FAK,TK
EIF2AK2 (PKR),PEK,Other
PDPK1 (PDK1),PDK1,AGC
MAPK6 (Erk3),MAPK,CMGC
NEK7,NEK,Other
TEK (TIE2),Tie,TK
PRKCQ (PKCt),PKC,AGC
ITK,Tec,TK
JAK1-b,JakB,TK
CDK7,CDK,CMGC
ULK2,ULK,Other
